Order ID,Order Date,Ship Date,Customer ID,Product ID,Sales,Quantity,Profit,Shipping Cost,Discount,Order Priority,Ship Mode
CA-2014-AB10015140-41954,2014-11-11,2014-11-13,AB-100151402,TEC-PH-5816,221.98,2,62.15,40.77,0,High,First Class
IN-2014-JR162107-41675,2014-02-05,2014-02-07,JR-162107,FUR-CH-5379,3709.4,9,-288.77,923.63,0.1,Critical,Second Class
IN-2014-CR127307-41929,2014-10-17,2014-10-18,CR-127307,TEC-PH-5356,5175.17,9,919.97,915.49,0.1,Medium,First Class
ES-2014-KM1637548-41667,2014-01-28,2014-01-30,KM-1637548,TEC-PH-5267,2892.51,5,-96.54,910.16,0.1,Medium,First Class
SG-2014-RH9495111-41948,2014-11-05,2014-11-06,RH-9495111,TEC-CO-6011,2832.96,8,311.52,903.04,0,Critical,Same Day
IN-2014-JM156557-41818,2014-06-28,2014-07-01,JM-156557,TEC-PH-5842,2862.68,5,763.28,897.35,0.1,Critical,Second Class
IN-2012-TS2134092-41219,2012-11-06,2012-11-08,TS-2134092,FUR-CH-5378,1822.08,4,564.84,894.77,0,Critical,First Class
IN-2013-MB1808592-41378,2013-04-14,2013-04-18,MB-1808592,FUR-TA-3764,5244.84,6,996.48,878.38,0,High,Standard Class
CA-2014-AB10015140-41954,2014-11-11,2014-11-13,AB-100151402,FUR-BO-5957,341.96,2,54.71,25.27,0,High,First Class
CA-2012-AB10015140-40974,2012-03-06,2012-03-07,AB-100151404,FUR-CH-4421,48.71,1,5.48,11.13,0.2,High,First Class
CA-2012-AB10015140-40974,2012-03-06,2012-03-07,AB-100151404,OFF-AR-5309,17.94,3,4.66,4.29,0,High,First Class
ID-2013-AJ107801-41383,2013-04-19,2013-04-22,AJ-107801,FUR-TA-3420,4626.15,5,647.55,835.57,0,High,First Class
SA-2012-MM7260110-41269,2012-12-26,2012-12-28,MM-7260110,TEC-PH-3807,2616.96,4,1151.4,832.41,0,Critical,Second Class
MX-2013-VF2171518-41591,2013-11-13,2013-11-13,VF-2171518,FUR-CH-4530,2221.8,7,622.02,810.25,0,Critical,Same Day
IN-2014-PF1912027-41796,2014-06-06,2014-06-08,PF-1912027,OFF-AP-4959,3701.52,12,1036.08,804.54,0,Critical,Second Class
ES-2015-BP1118545-42216,2015-07-31,2015-08-03,BP-1118545,OFF-AP-3575,1869.59,4,186.95,801.66,0.1,Critical,Second Class
CA-2012-AB10015140-40958,2012-02-19,2012-02-25,AB-100151402,OFF-ST-3078,12.62,2,-2.52,1.97,0.2,Low,Standard Class
ES-2015-PJ1883564-42255,2015-09-08,2015-09-14,PJ-1883564,OFF-AP-4743,7958.58,14,3979.08,778.32,0,Low,Standard Class
IN-2015-JS156857-42035,2015-01-31,2015-02-01,JS-156857,TEC-CO-3597,2565.59,9,28.4,766.93,0.1,Critical,First Class
TZ-2015-RH9555129-42343,2015-12-05,2015-12-07,RH-9555129,OFF-AP-4967,3409.74,6,818.28,763.38,0,High,Second Class
PL-2013-AB600103-41494,2013-08-08,2013-08-10,AB-600103,FUR-TA-4644,1977.72,4,276.84,759.47,0,Critical,First Class
CA-2012-AB10015140-40974,2012-03-06,2012-03-07,AB-100151404,OFF-ST-3744,242.94,3,4.86,1.28,0,High,First Class
IN-2012-JK1532527-41030,2012-05-01,2012-05-02,JK-1532527,FUR-CH-5774,2754,6,358.02,752.47,0,Critical,First Class
ES-2014-LB16795139-41697,2014-02-27,2014-03-01,LB-16795139,OFF-AP-4960,5273.7,10,1898.4,730.91,0,High,Second Class
US-2015-NP1832582-42216,2015-07-31,2015-08-01,NP-1832582,TEC-PH-5268,1713.84,4,445.52,728.968,0,Critical,First Class
MX-2015-VD2167039-42252,2015-09-05,2015-09-08,VD-2167039,FUR-TA-4643,2106.5,8,526.5,728.389,0.2,Critical,First Class
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,PB-19210127,FUR-TA-5060,1715.16,2,720.36,725.57,0,Critical,First Class
ES-2012-EB1411048-40981,2012-03-13,2012-03-16,EB-1411048,OFF-AP-4743,3069.74,6,1364.24,725.34,0.1,Critical,Second Class
CA-2012-AH10030140-41020,2012-04-21,2012-04-23,AH-100301406,OFF-FA-6129,247.84,8,121.44,55.2,0,Critical,Second Class
IN-2013-BP1123058-41329,2013-02-24,2013-02-24,BP-1123058,FUR-CH-5443,1878.72,4,582.36,704.08,0,Critical,Same Day
US-2012-RR1952536-41270,2012-12-27,2012-12-29,RR-1952536,TEC-PH-5841,1696.64,5,-148.46,704.056,0.2,Critical,Second Class
ES-2013-BS1136545-41472,2013-07-17,2013-07-19,BS-1136545,TEC-MA-5503,2402.87,9,763.16,699.55,0.15,Critical,First Class
CA-2013-AH10030140-41635,2013-12-27,2013-12-31,AH-100301404,TEC-PH-4389,668.16,9,75.17,45.74,0.2,Medium,Standard Class
